cpu_times-user,cpu_times-system,cpu_times-children_user,cpu_times-children_system,cpu_times-iowait,memory_full_info-rss,memory_full_info-vms,memory_full_info-shared,memory_full_info-text,memory_full_info-lib,memory_full_info-data,memory_full_info-dirty,memory_full_info-uss,memory_full_info-pss,memory_full_info-swap,memory_percent,cpu_percent
11.28,0.53,0.0,0.0,0.0,2333999104,2359816192,6160384,2818048,0,2344710144,0,1474154496,1474835456,0,14.230295317386151,102.2
11.37,0.54,0.0,0.0,0.0,2354708480,2435571712,6160384,2818048,0,2420465664,0,1523879936,1524553728,0,14.356559520235987,92.5
11.46,0.56,0.0,0.0,0.0,2375286784,2452348928,6160384,2818048,0,2437242880,0,1359171584,1359845376,0,14.482024582561456,102.2
11.55,0.57,0.0,0.0,0.0,2395996160,2469126144,6160384,2818048,0,2454020096,0,1379803136,1380476928,0,14.608288785411291,93.0
11.65,0.57,0.0,0.0,0.0,2416574464,2485903360,6160384,2818048,0,2470797312,0,1400430592,1401104384,0,14.733753847736757,92.3
11.75,0.58,0.0,0.0,0.0,2437414912,2502680576,6160384,2818048,0,2487574528,0,1470824448,1471521792,0,14.860817191110959,100.8
11.84,0.59,0.0,0.0,0.0,2458255360,2519457792,6160384,2818048,0,2504351744,0,1567838208,1568535552,0,14.987880534485162,91.2
11.94,0.59,0.0,0.0,0.0,2479751168,2537283584,6160384,2818048,0,2522177536,0,1648988160,1649661952,0,15.118939580481191,92.3
12.05,0.59,0.0,0.0,0.0,2500329472,2554060800,6160384,2818048,0,2538954752,0,1011335168,1012016128,0,15.245203783331027,105.4
12.15,0.59,0.0,0.0,0.0,2521169920,2570838016,6160384,2818048,0,2555731968,0,1524690944,1525388288,0,15.371467986180862,92.5
12.25,0.59,0.0,0.0,0.0,2542927872,2588663808,6160384,2818048,0,2573557760,0,1712173056,1712846848,0,15.504125313225625,91.1
12.36,0.59,0.0,0.0,0.0,2563637248,2605441024,6160384,2818048,0,2590334976,0,1547403264,1548077056,0,15.63038951607546,101.1
12.45,0.59,0.0,0.0,0.0,2584346624,2622218240,6160384,2818048,0,2607112192,0,1587863552,1588560896,0,15.756653718925296,82.1
12.55,0.6,0.0,0.0,0.0,2605056000,2638995456,6160384,2818048,0,2623889408,0,1638424576,1639121920,0,15.88291792177513,100.9
12.65,0.6,0.0,0.0,0.0,2625765376,2720944128,6160384,2818048,0,2705838080,0,1735438336,1736135680,0,16.00998126514933,90.5
12.75,0.61,0.0,0.0,0.0,2647392256,2738769920,6160384,2818048,0,2723663872,0,1537257472,1537938432,0,16.141040311145364,100.7
12.85,0.61,0.0,0.0,0.0,2668625920,2755747840,6160384,2818048,0,2740641792,0,1778180096,1778877440,0,16.27050107609266,89.8
12.95,0.61,0.0,0.0,0.0,2690121728,2773573632,6160384,2818048,0,2758467584,0,1673764864,1674445824,0,16.401560122088693,89.6
13.06,0.61,0.0,0.0,0.0,2710962176,2790350848,6160384,2818048,0,2775244800,0,1744343040,1745040384,0,16.528623465462893,99.8
